case_id,open_date,close_date,days_to_close,severity,product_area,issue_type,complexity,effort_level,escalation_flag,reopen_flag,agent_type,lifecycle_stage_touched,handoff_time_hours,num_actions,automation_success,first_response_time_hours,resolution_accuracy,csat_score,sla_target_days,sla_met,repeat_contact_flag,kb_article_used,kb_coverage_score,engineer_workload,queue_depth
CASE-100019,2024-11-11T07:00:00.000Z,2024-11-27T07:41:19.448Z,16.03,Sev-C,Compute,Feature Gap,Low,High,false,false,Scoping,Scoping/Troubleshooting,1.1,2,true,5.9,0.96,4.7,12,false,false,false,0.33,11,68
CASE-100020,2024-01-31T02:00:00.000Z,2024-02-21T14:41:12.109Z,21.53,Sev-C,Storage,How-To,Medium,High,false,false,None,,,2,,6.1,0.91,3.5,12,false,false,false,0.51,19,5
CASE-100021,2025-04-16T10:00:00.000Z,2025-04-28T19:58:03.551Z,12.42,Sev-D,Compute,Bug,Low,Low,false,false,Scoping,Creation,4.2,3,true,2.4,0.81,3.6,18,true,false,true,0.74,9,74
CASE-100022,2025-04-17T15:00:00.000Z,2025-04-29T06:40:38.237Z,11.65,Sev-C,Collaboration,Feature Gap,Low,Medium,false,false,Scoping,Scoping/Troubleshooting,12,3,true,4.4,0.9,4.3,12,true,false,true,0.62,7,26
CASE-100023,2024-08-17T16:00:00.000Z,2024-08-23T01:49:44.780Z,5.41,Sev-B,Compute,Configuration,Medium,Low,false,false,Knowledge,Scoping/Troubleshooting,2.5,7,true,2.9,1,3.9,8,true,false,true,0.57,9,8
CASE-100024,2025-03-04T02:00:00.000Z,2025-03-10T16:08:34.947Z,6.59,Sev-B,Storage,How-To,Medium,Low,false,false,Routing,Closure,10.4,3,true,3.4,0.9,4.1,8,true,false,true,0.69,6,7
CASE-100025,2025-05-13T05:00:00.000Z,2025-05-28T17:10:43.714Z,15.51,Sev-C,Collaboration,How-To,Medium,Medium,false,false,Scoping,Scoping/Troubleshooting,4.4,8,true,2.8,0.95,4.3,12,false,false,false,0.38,15,35
CASE-100026,2024-04-04T20:00:00.000Z,2024-04-12T20:24:12.899Z,8.02,Sev-C,Networking,Bug,Low,Low,false,true,Routing,Closure,3,7,false,1.3,0.72,4.8,12,true,true,false,0.54,16,70
CASE-100027,2025-04-10T05:00:00.000Z,2025-04-24T02:24:28.047Z,13.89,Sev-B,Identity,Bug,High,Medium,false,false,Routing,Creation,6.4,8,true,2.6,0.93,4,8,false,false,false,0.66,21,73
CASE-100028,2024-06-17T22:00:00.000Z,2024-06-30T04:38:01.829Z,12.28,Sev-B,Data Platform,How-To,Low,High,false,false,None,,,1,,7.2,0.72,3.9,8,false,false,true,0.89,3,74
CASE-100029,2024-10-31T13:00:00.000Z,2024-11-21T17:12:11.246Z,21.18,Sev-D,Identity,Configuration,High,Low,false,false,None,,,2,,8.9,0.68,3.7,18,false,false,true,0.77,8,50
CASE-100030,2024-09-05T20:00:00.000Z,2024-09-18T16:25:39.690Z,12.85,Sev-C,Compute,Outage,Medium,Low,false,true,None,,,3,,5.9,0.69,3.9,12,false,false,false,0.57,22,12
CASE-100031,2024-05-30T18:00:00.000Z,2024-06-16T07:21:15.537Z,16.56,Sev-B,Identity,Outage,Medium,High,false,false,Routing,Creation,1.6,4,true,7.5,1,4.6,8,false,false,false,0.3,17,49
CASE-100032,2024-12-29T04:00:00.000Z,2025-01-16T08:14:20.875Z,18.18,Sev-D,Compute,Performance,Medium,Medium,false,false,Knowledge,Scoping/Troubleshooting,8.1,6,true,2.7,0.87,3.8,18,false,false,true,0.47,3,14
CASE-100033,2025-02-13T02:00:00.000Z,2025-02-15T21:44:28.695Z,2.82,Sev-B,Collaboration,Performance,Low,Low,false,false,Scoping,Closure,4.4,3,true,3,0.89,4.4,8,true,false,false,0.55,11,76
CASE-100034,2025-03-23T23:00:00.000Z,2025-04-14T05:30:46.867Z,21.27,Sev-D,Storage,Bug,Medium,High,false,false,CaseHealth,Closure,3.7,5,true,3.5,1,4.1,18,false,false,false,0.32,7,21
CASE-100035,2024-04-27T14:00:00.000Z,2024-05-14T16:07:26.030Z,17.09,Sev-C,Storage,How-To,Medium,High,false,false,Knowledge,Closure,3.2,6,true,5.3,0.93,4.3,12,false,false,true,0.91,20,40
CASE-100036,2025-03-03T08:00:00.000Z,2025-03-24T15:02:21.173Z,21.29,Sev-C,Collaboration,Configuration,Medium,High,false,false,None,,,1,,7.3,0.86,3.5,12,false,false,false,0.51,23,57
CASE-100037,2025-01-04T05:00:00.000Z,2025-01-07T02:43:45.412Z,2.91,Sev-B,Data Platform,Configuration,Low,Medium,false,false,Blended,Scoping/Troubleshooting,0.2,2,true,4,0.9,4,8,true,false,true,0.91,11,20
CASE-100038,2024-05-09T09:00:00.000Z,2024-05-29T19:02:14.077Z,20.42,Sev-C,Identity,Bug,Low,High,false,false,None,,,2,,9.4,0.81,4.1,12,false,false,false,0.37,18,23
CASE-100039,2024-07-17T11:00:00.000Z,2024-08-01T03:00:11.686Z,14.67,Sev-B,Compute,Outage,High,Low,false,false,Routing,Closure,4.4,5,true,8.5,0.79,4.4,8,false,false,true,0.76,23,72
CASE-100040,2024-01-12T06:00:00.000Z,2024-01-20T09:59:43.190Z,8.17,Sev-B,Storage,Outage,Medium,Low,false,false,Knowledge,Creation,8.7,5,false,6.2,0.61,3.2,8,false,false,true,0.4,19,14
CASE-100041,2025-01-25T01:00:00.000Z,2025-02-10T08:16:57.704Z,16.3,Sev-B,Collaboration,How-To,Medium,High,false,false,Routing,Scoping/Troubleshooting,2.5,7,true,2.3,0.8,4.8,8,false,false,true,0.58,10,23
CASE-100042,2024-12-23T11:00:00.000Z,2025-01-13T23:38:43.423Z,21.53,Sev-C,Compute,Bug,High,Medium,false,false,Knowledge,Scoping/Troubleshooting,3.4,4,true,3.1,0.96,4.3,12,false,false,true,0.86,5,73
CASE-100043,2024-06-07T04:00:00.000Z,2024-06-18T22:05:33.023Z,11.75,Sev-C,Collaboration,Configuration,Low,Medium,false,false,Routing,Creation,11.3,8,true,3.5,0.98,4.2,12,true,false,true,0.8,19,68
CASE-100044,2024-02-12T03:00:00.000Z,2024-02-18T18:00:45.365Z,6.63,Sev-B,Security,How-To,Medium,Low,false,false,Scoping,Creation,7.6,2,true,8.4,0.98,4.8,8,true,false,false,0.58,24,48
CASE-100045,2024-08-02T06:00:00.000Z,2024-08-02T18:00:00.000Z,0.5,Sev-A,Security,Outage,Low,Low,false,false,Routing,Creation,4.9,5,true,8.2,0.81,4.2,5,true,false,false,0.64,23,50
CASE-100046,2025-03-16T04:00:00.000Z,2025-03-25T14:49:09.514Z,9.45,Sev-C,Data Platform,Feature Gap,Low,Low,true,false,Routing,Closure,0.3,4,true,2.6,0.95,5,12,true,false,false,0.29,17,59
CASE-100047,2024-05-27T02:00:00.000Z,2024-06-05T02:31:15.775Z,9.02,Sev-C,Collaboration,Outage,Medium,Medium,false,false,Knowledge,Creation,5.8,5,false,2.5,0.8,3.7,12,true,false,true,0.57,8,26
CASE-100048,2024-06-20T20:00:00.000Z,2024-06-29T10:59:23.895Z,8.62,Sev-D,Networking,Configuration,Low,Medium,false,false,Blended,Creation,1.9,7,true,6.3,0.84,4,18,true,false,false,0.66,23,8
CASE-100049,2024-03-17T19:00:00.000Z,2024-03-24T20:15:52.683Z,7.05,Sev-C,Security,Feature Gap,Low,Low,false,false,CaseHealth,Creation,0.2,8,true,5.2,0.84,4.4,12,true,false,false,0.49,22,43
CASE-100050,2025-01-21T14:00:00.000Z,2025-01-29T03:32:30.457Z,7.56,Sev-C,Networking,Feature Gap,Low,Low,false,false,Scoping,Closure,4,7,true,2.6,0.88,4.8,12,true,false,false,0.51,22,50
CASE-100051,2025-03-16T08:00:00.000Z,2025-04-04T12:48:13.342Z,19.2,Sev-C,Networking,Outage,High,Low,true,false,None,,,1,,7.6,0.88,3,12,false,false,true,0.99,22,7
CASE-100052,2024-11-26T08:00:00.000Z,2024-12-19T12:24:50.923Z,23.18,Sev-B,Compute,Feature Gap,High,High,false,false,None,,,1,,8,0.85,4,8,false,true,false,0.25,17,15
CASE-100053,2024-11-06T11:00:00.000Z,2024-11-17T12:35:40.655Z,11.07,Sev-C,Networking,Performance,Low,Low,false,true,None,,,2,,11.1,0.9,3.6,12,true,false,false,0.39,18,33
CASE-100054,2024-11-28T03:00:00.000Z,2024-12-08T13:02:44.483Z,10.42,Sev-A,Storage,Bug,Medium,High,false,false,Blended,Closure,8.5,5,true,5.7,0.89,3.8,5,false,true,true,0.75,17,59
CASE-100055,2024-11-27T17:00:00.000Z,2024-12-20T22:15:41.181Z,23.22,Sev-D,Security,Configuration,Medium,High,false,true,Blended,Scoping/Troubleshooting,4.1,3,false,3.2,0.81,3.8,18,false,false,false,0.32,4,50
CASE-100056,2024-01-19T09:00:00.000Z,2024-02-03T15:00:03.121Z,15.25,Sev-B,Networking,Outage,Medium,High,false,false,None,,,1,,2.3,0.85,3.8,8,false,false,false,0.48,22,72
CASE-100057,2025-03-26T12:00:00.000Z,2025-04-15T11:09:45.374Z,19.97,Sev-D,Compute,Configuration,Medium,Medium,false,false,Knowledge,Creation,4.4,5,true,2.7,0.81,4.3,18,false,false,true,0.75,3,47
CASE-100058,2024-03-29T01:00:00.000Z,2024-04-21T23:19:23.680Z,23.93,Sev-C,Data Platform,Performance,High,Medium,false,false,Routing,Scoping/Troubleshooting,4.5,2,true,5.8,0.93,4.7,12,false,false,false,0.33,3,77
CASE-100059,2024-03-25T17:00:00.000Z,2024-04-13T10:40:52.568Z,18.74,Sev-B,Security,Configuration,Low,High,false,false,None,,,3,,6.5,0.78,4,8,false,false,false,0.18,8,35
CASE-100060,2024-11-29T12:00:00.000Z,2024-12-17T21:46:04.520Z,18.41,Sev-D,Compute,How-To,Medium,Medium,false,false,Knowledge,Closure,11.3,3,true,2.6,0.93,5,18,false,false,false,0.13,10,41
CASE-100061,2024-03-08T19:00:00.000Z,2024-03-15T09:47:07.861Z,6.62,Sev-B,Compute,Bug,Medium,Low,false,true,None,,,3,,7.2,0.94,3.6,8,true,false,false,0.38,10,42
CASE-100062,2024-12-11T23:00:00.000Z,2024-12-16T20:03:00.729Z,4.88,Sev-B,Identity,Configuration,Low,Low,false,false,Knowledge,Creation,8.3,8,true,4.1,0.76,4.1,8,true,false,true,0.82,17,50
CASE-100063,2024-08-16T02:00:00.000Z,2024-09-11T01:40:57.062Z,25.99,Sev-D,Collaboration,Performance,High,Low,false,false,None,,,2,,5.5,0.71,4.1,18,false,false,false,0.25,6,16
CASE-100064,2025-01-09T23:00:00.000Z,2025-01-24T10:54:06.869Z,14.5,Sev-C,Data Platform,Configuration,Medium,Low,true,false,None,,,1,,7.5,0.93,3.7,12,false,false,true,0.91,8,35
CASE-100065,2025-05-09T23:00:00.000Z,2025-05-19T03:10:49.439Z,9.17,Sev-A,Networking,How-To,Medium,Low,false,false,None,,,2,,9.3,0.78,3.7,5,false,false,false,0.33,8,41
CASE-100066,2024-09-20T16:00:00.000Z,2024-10-10T11:13:54.102Z,19.8,Sev-C,Networking,Bug,Medium,Medium,false,true,None,,,3,,7.4,0.87,3.2,12,false,true,false,0.39,5,65
CASE-100067,2025-04-28T00:00:00.000Z,2025-05-22T18:07:15.623Z,24.76,Sev-D,Networking,Outage,Medium,High,false,false,None,,,3,,6,0.91,3.1,18,false,false,true,0.68,4,55
CASE-100068,2024-09-30T23:00:00.000Z,2024-10-17T13:52:42.133Z,16.62,Sev-B,Collaboration,Outage,High,Low,false,false,Routing,Creation,0.4,4,true,3.1,0.83,4.2,8,false,false,false,0.58,13,58
CASE-100069,2024-04-14T01:00:00.000Z,2024-05-07T04:08:48.894Z,23.13,Sev-D,Security,Feature Gap,Medium,High,false,false,None,,,3,,8.5,0.94,3.7,18,false,false,false,0.51,13,26
CASE-100070,2024-04-24T01:00:00.000Z,2024-05-05T04:19:12.488Z,11.14,Sev-C,Security,How-To,Low,Low,true,false,Routing,Creation,14,3,true,3.4,0.98,5,12,true,false,false,0.41,22,71
CASE-100071,2024-04-12T07:00:00.000Z,2024-04-28T01:32:30.449Z,15.77,Sev-C,Networking,Configuration,Low,High,false,false,Knowledge,Closure,7.6,2,true,2.9,0.96,4.9,12,false,false,true,0.55,13,53
CASE-100072,2024-07-15T23:00:00.000Z,2024-07-26T08:03:02.401Z,10.38,Sev-B,Compute,Outage,Low,High,false,false,CaseHealth,Scoping/Troubleshooting,9.4,3,true,2.4,1,4,8,false,false,false,0.24,7,73
CASE-100073,2024-05-31T16:00:00.000Z,2024-07-01T00:23:46.548Z,30.35,Sev-D,Networking,Performance,High,High,false,false,None,,,3,,4.6,0.92,3.4,18,false,false,true,0.7,23,12
CASE-100074,2024-08-28T06:00:00.000Z,2024-09-12T07:09:47.297Z,15.05,Sev-C,Security,Bug,Medium,Medium,false,false,Routing,Scoping/Troubleshooting,3.3,8,true,1.7,0.92,4.7,12,false,false,false,0.56,21,32
CASE-100075,2025-04-18T21:00:00.000Z,2025-04-29T22:55:41.559Z,11.08,Sev-C,Data Platform,How-To,Low,Low,false,false,Routing,Creation,2.9,4,true,2.8,1,5,12,true,false,true,0.44,20,11
CASE-100076,2024-07-29T07:00:00.000Z,2024-08-04T13:44:07.531Z,6.28,Sev-C,Identity,Feature Gap,Low,Low,false,false,Scoping,Creation,4.1,7,true,3.9,0.91,3.1,12,true,false,true,0.84,24,56
CASE-100077,2024-09-26T05:00:00.000Z,2024-10-18T02:24:04.574Z,21.89,Sev-C,Collaboration,Bug,High,Medium,false,false,Routing,Scoping/Troubleshooting,7.7,2,true,4.6,0.93,4.9,12,false,false,false,0.38,3,69
CASE-100078,2024-10-20T10:00:00.000Z,2024-10-26T12:15:04.658Z,6.09,Sev-A,Data Platform,Performance,Low,High,false,false,Routing,Creation,6.7,2,true,1.2,0.87,5,5,false,false,false,0.13,8,25
CASE-100079,2025-02-02T19:00:00.000Z,2025-02-26T07:18:04.325Z,23.51,Sev-D,Networking,Configuration,Medium,High,true,false,CaseHealth,Creation,5.5,4,false,2.4,0.76,2.8,18,false,false,false,0.21,15,67
CASE-100080,2025-01-06T07:00:00.000Z,2025-01-10T01:45:36.531Z,3.78,Sev-A,Security,Feature Gap,Low,Medium,false,false,Scoping,Creation,0.6,2,true,3,0.82,3.5,5,true,false,false,0.62,15,13
CASE-100081,2025-05-13T21:00:00.000Z,2025-06-01T15:40:38.434Z,18.78,Sev-C,Identity,How-To,High,Low,true,false,None,,,1,,7.4,0.81,3.3,12,false,false,false,0.52,18,69
CASE-100082,2024-12-13T21:00:00.000Z,2024-12-24T02:43:14.235Z,10.24,Sev-B,Compute,Configuration,Low,Medium,false,false,None,,,3,,9.1,0.71,2.7,8,false,false,true,0.74,9,5
CASE-100083,2025-03-08T08:00:00.000Z,2025-03-23T18:10:24.245Z,15.42,Sev-B,Networking,Feature Gap,Medium,Medium,false,false,None,,,3,,9.5,0.74,3.8,8,false,false,false,0.42,8,22
CASE-100084,2024-05-02T16:00:00.000Z,2024-05-14T23:28:40.556Z,12.31,Sev-B,Storage,Performance,Low,High,false,false,None,,,2,,5,0.75,4.5,8,false,false,true,0.75,16,7
CASE-100085,2025-01-20T01:00:00.000Z,2025-01-29T03:32:57.259Z,9.11,Sev-B,Compute,Performance,Medium,High,false,false,Blended,Closure,2.8,2,true,2.6,1,4.1,8,false,false,true,0.86,21,44
CASE-100086,2024-11-20T20:00:00.000Z,2024-11-28T12:13:07.259Z,7.68,Sev-B,Collaboration,Outage,Medium,Low,false,false,None,,,1,,7.4,0.91,3,8,true,false,false,0.43,3,10
CASE-100087,2024-04-13T23:00:00.000Z,2024-04-22T23:41:16.979Z,9.03,Sev-D,Security,Configuration,Low,Low,false,false,Routing,Closure,1.7,8,true,1.8,0.93,3.5,18,true,false,false,0.41,10,70
CASE-100088,2024-02-05T13:00:00.000Z,2024-02-29T13:11:39.589Z,24.01,Sev-D,Security,Configuration,Low,High,false,false,None,,,1,,7.4,0.95,4.1,18,false,false,false,0.33,10,53
CASE-100089,2024-04-17T16:00:00.000Z,2024-04-25T17:46:13.616Z,8.07,Sev-B,Identity,Bug,Low,Medium,false,false,Blended,Creation,9.1,2,true,10.1,0.91,5,8,false,false,true,0.84,24,30
CASE-100090,2024-12-03T23:00:00.000Z,2024-12-18T01:58:20.087Z,14.12,Sev-C,Security,Feature Gap,Medium,Medium,false,true,None,,,2,,7.3,0.88,3.7,12,false,false,false,0.28,19,38
CASE-100091,2024-07-05T06:00:00.000Z,2024-07-20T11:05:46.315Z,15.21,Sev-B,Identity,Outage,High,Medium,false,false,Scoping,Closure,7,5,false,2.6,0.81,3.5,8,false,false,false,0.31,15,5
CASE-100092,2024-01-01T01:00:00.000Z,2024-01-08T23:37:21.756Z,7.94,Sev-A,Collaboration,Performance,Medium,Low,false,false,None,,,1,,8.6,0.88,3.5,5,false,false,false,0.13,15,67
CASE-100093,2025-03-23T15:00:00.000Z,2025-04-10T06:21:26.506Z,17.64,Sev-C,Identity,Configuration,Medium,Medium,false,false,CaseHealth,Creation,5,2,false,1.8,0.91,4.4,12,false,false,false,0.5,8,37
CASE-100094,2025-02-01T17:00:00.000Z,2025-02-22T16:14:42.532Z,20.97,Sev-D,Security,How-To,Medium,Medium,false,false,Blended,Creation,6.8,4,true,5.7,0.72,4.7,18,false,false,true,0.95,20,64
CASE-100095,2024-08-25T16:00:00.000Z,2024-09-05T02:27:10.139Z,10.44,Sev-C,Security,Outage,Medium,Low,false,false,Knowledge,Closure,5.5,5,true,2.5,0.81,4.6,12,true,false,true,0.94,23,44
CASE-100096,2025-04-28T04:00:00.000Z,2025-05-02T22:16:21.200Z,4.76,Sev-A,Security,Outage,High,Low,true,false,Blended,Scoping/Troubleshooting,0.2,4,true,5.1,0.95,4.7,5,true,false,true,0.62,23,23
CASE-100097,2025-02-20T11:00:00.000Z,2025-03-08T18:52:09.246Z,16.33,Sev-C,Identity,Performance,Medium,Medium,true,true,Routing,Scoping/Troubleshooting,7.3,3,true,5,0.91,4.4,12,false,false,false,0.35,23,69
CASE-100098,2024-11-02T14:00:00.000Z,2024-11-17T07:20:40.894Z,14.72,Sev-D,Collaboration,Performance,Low,Medium,false,false,Blended,Closure,2.7,7,false,3.8,0.77,3.3,18,true,false,true,0.59,11,12
CASE-100099,2024-03-22T06:00:00.000Z,2024-03-31T17:39:09.196Z,9.49,Sev-C,Storage,How-To,Medium,Low,false,false,Knowledge,Closure,0.1,2,false,1.7,0.7,4,12,true,false,false,0.22,16,50
CASE-100100,2025-04-19T07:00:00.000Z,2025-05-12T20:41:43.683Z,23.57,Sev-D,Security,Performance,Medium,High,false,false,Knowledge,Scoping/Troubleshooting,0.8,4,true,1.7,0.84,4.6,18,false,false,false,0.65,24,59
CASE-100101,2024-11-21T23:00:00.000Z,2024-12-03T10:49:16.088Z,11.49,Sev-B,Security,Performance,Medium,Low,false,false,CaseHealth,Scoping/Troubleshooting,2.2,8,true,6.9,1,4.5,8,false,false,false,0.49,22,10
CASE-100102,2024-02-23T17:00:00.000Z,2024-03-02T13:38:53.411Z,7.86,Sev-A,Compute,Feature Gap,Medium,High,false,false,Knowledge,Scoping/Troubleshooting,4.9,2,true,4.3,0.78,3.6,5,false,false,true,1,5,12
CASE-100103,2024-04-24T10:00:00.000Z,2024-05-15T08:07:24.298Z,20.92,Sev-D,Security,Outage,Medium,Medium,false,false,None,,,2,,5.2,0.9,4.8,18,false,false,true,0.65,4,71
CASE-100104,2025-02-10T05:00:00.000Z,2025-02-26T18:21:59.805Z,16.56,Sev-C,Compute,Outage,High,Low,false,false,None,,,2,,5.1,0.65,3.4,12,false,false,true,0.68,3,59
CASE-100105,2024-11-14T15:00:00.000Z,2024-11-16T07:55:14.861Z,1.71,Sev-A,Networking,Feature Gap,Medium,Low,true,false,Blended,Closure,0.7,3,true,3.2,1,4.3,5,true,true,true,0.68,23,66
CASE-100106,2024-02-06T11:00:00.000Z,2024-02-19T07:45:10.811Z,12.86,Sev-B,Compute,Outage,Low,High,false,false,None,,,2,,3.6,1,3.6,8,false,false,false,0.09,18,71
CASE-100107,2024-11-27T06:00:00.000Z,2024-12-16T05:00:46.496Z,18.96,Sev-D,Security,Feature Gap,Medium,High,false,true,CaseHealth,Creation,10.1,3,false,2.9,0.87,4.2,18,false,false,false,0.49,14,53
CASE-100108,2024-04-30T04:00:00.000Z,2024-05-14T01:57:56.894Z,13.92,Sev-B,Data Platform,How-To,High,Low,false,false,Routing,Creation,1.8,6,true,4.2,0.92,3.7,8,false,false,false,0.2,20,30
CASE-100109,2024-04-21T22:00:00.000Z,2024-04-29T05:08:10.246Z,7.3,Sev-C,Compute,Performance,Medium,Medium,false,false,Knowledge,Scoping/Troubleshooting,10.9,4,true,2.2,1,4,12,true,false,false,0.43,22,51
CASE-100110,2024-06-03T13:00:00.000Z,2024-06-19T22:30:04.537Z,16.4,Sev-C,Identity,Outage,Low,High,false,false,None,,,2,,8.7,0.94,3.8,12,false,false,false,0.55,22,27
CASE-100111,2024-04-11T04:00:00.000Z,2024-04-22T15:16:17.251Z,11.47,Sev-B,Identity,How-To,Low,High,false,false,CaseHealth,Scoping/Troubleshooting,10.5,6,true,6.4,0.95,5,8,false,false,true,0.63,17,10
CASE-100112,2025-03-15T05:00:00.000Z,2025-04-02T05:24:37.551Z,18.02,Sev-D,Data Platform,Configuration,Low,High,false,false,Routing,Creation,6.8,5,true,5.1,0.85,4.1,18,false,false,false,0.41,3,46
CASE-100113,2024-06-19T16:00:00.000Z,2024-07-01T09:34:46.344Z,11.73,Sev-C,Compute,Configuration,Low,Medium,false,false,Knowledge,Closure,7.4,8,true,5.9,0.8,4.1,12,true,false,true,0.72,4,13
CASE-100114,2024-06-15T06:00:00.000Z,2024-07-11T01:36:12.799Z,25.82,Sev-B,Data Platform,Outage,High,High,false,false,None,,,3,,7.9,0.65,2.9,8,false,false,false,0.34,19,15
CASE-100115,2024-01-22T01:00:00.000Z,2024-01-29T16:22:45.124Z,7.64,Sev-A,Networking,Configuration,Low,Medium,false,false,None,,,3,,6.4,0.68,2.9,5,false,false,true,0.68,19,75
CASE-100116,2024-02-22T06:00:00.000Z,2024-03-11T14:18:08.070Z,18.35,Sev-D,Compute,Feature Gap,Medium,Medium,false,false,None,,,2,,7.2,0.79,3.6,18,false,false,false,0.52,4,19
CASE-100117,2024-10-28T16:00:00.000Z,2024-10-29T20:31:37.194Z,1.19,Sev-B,Collaboration,Outage,Medium,Low,false,false,Blended,Closure,9.8,5,true,1.3,0.86,4.6,8,true,false,false,0.1,17,41
CASE-100118,2024-11-12T11:00:00.000Z,2024-11-26T23:32:12.527Z,14.52,Sev-C,Identity,Feature Gap,High,Medium,false,false,Blended,Creation,6.1,7,true,3.8,0.91,3.9,12,false,false,true,0.78,18,6
CASE-100119,2025-01-20T08:00:00.000Z,2025-01-30T18:32:14.464Z,10.44,Sev-B,Storage,Configuration,Low,High,false,false,Scoping,Closure,8.2,2,true,0.8,0.9,3.8,8,false,true,false,0.37,3,13
CASE-100120,2024-09-07T15:00:00.000Z,2024-09-18T02:47:41.415Z,10.49,Sev-C,Storage,How-To,Low,Low,false,false,Routing,Closure,8.8,4,true,3.3,0.84,4.5,12,true,false,true,0.78,9,15
CASE-100121,2024-06-28T15:00:00.000Z,2024-07-24T10:30:59.991Z,25.81,Sev-D,Collaboration,Configuration,High,High,false,false,Scoping,Closure,4.5,5,false,5.4,0.83,4,18,false,false,true,0.6,18,21
